Date,Giving,Earned,Staff,Operations,Ministry,Debt,Capital
2016-10-01,17592,1065,5312,2868,2868,1220,0
2016-11-01,11905,265,4868,2252,1338,1220,0
2016-12-01,12819,564,4868,2835,4541,1220,0
2017-01-01,10464,1310,6800,5157,1883,1220,0
2017-02-01,11519,60,6800,4512,2802,1220,0
2017-03-01,11887,826,6800,4497,3994,1220,0
2017-04-01,14450,665,6800,4607,2031,1220,0
2017-05-01,11576,1165,6800,3843,3150,1220,0
2017-06-01,9696,815,6800,4039,4818,1220,0
2017-07-01,13376,1565,5448,3738,1238,1220,0
2017-08-01,11115,65,6448,3482,2699,1220,823
2017-09-01,11955,865,6748,3465,2059,1220,868
2017-10-01,12351,750,6148,3139,1754,1220,2225
